,genesymbol
22619,NFKBIA
38705,MARCKS
58860,JUNB
70484,DUSP1
87783,ZFP36
90767,EIF1
94210,SQSTM1
101530,BTG2
105782,PGK1
109347,ENO1
114312,PIM1
116628,ANXA2
117768,LDHA
123027,ISG20
124135,GAPDH
127341,ALDOA
130055,MYH9
138572,MT2A
159269,NDRG1
171064,CLU
172783,LGALS3
174321,ACTG1
177214,CTNNB1
192126,GUSB
195493,EZR
209662,SPTBN1
236500,FLNA
270231,CCND2
276211,NCOR2
283405,NCSTN
293351,UBE2D3
296039,FNTA
296925,RHOA
298343,HDAC1
300242,FKBP1A
310824,STAT3
316727,FAS
337477,SURF1
356580,BCAP31
358485,CETN2
359990,USP11
365540,RPA2
366401,GPX4
367246,ARL6IP1
371495,DDB1
380337,NCL
395185,HMGN2
396036,XPO1
408113,STMN1
414796,H2AZ1
418091,UBE2C
437179,SOD1
442263,PSEN1
446888,IFITM3
452094,TXNIP
460804,VDAC2
462764,HSPB1
496102,UBC
497191,COX6A1
503294,COX8A
511954,STOM
514071,ARAF
520894,APLP2
526975,ECHS1
532478,DDT
538303,ITPK1
550222,FKBP4
556080,XBP1
572095,ABLIM1
585043,SERPINA3
587392,PTPN6
597819,COX6C
609735,B2M
639990,FHL1
642082,ITGB1
646551,SLC6A8
648441,EIF4A2
681732,CLTA
686091,GNAS
687060,CD63
689837,ARF1
694552,AP3S1
695289,GNAS
696501,CLTC
700036,RER1
701282,TMED10
701861,GNAS
705213,GNAS
711248,CD74
714542,IFITM1
717934,WARS1
724291,PSME1
735247,HLA-B
740588,HLA-A
752371,HLA-DQA1
758305,PSMB2
767590,PFN1
776349,YWHAH
782426,MSN
792690,ARPC2
803353,CD34
804186,CAP1
809081,ACTB
838160,LTA4H
841488,FYN
858202,ATOX1
870363,EIF4A3
870958,ATF4
873437,NPM1
881594,YWHAZ
882794,FUS
884414,EEF2
886523,RPS14
888800,EIF4A1
899046,CFL1
899379,CSNK2B
904589,YWHAB
908557,RAC1
914397,ATP5MC1
917725,PSMB5
919551,HSPD1
921793,CANX
926561,PPIA
927283,PRDX1
931362,TCEA1
941311,NAP1L1
963877,MLH1
968076,PABPC1
969411,YWHAQ
970136,RPL34
971004,RACK1
972305,APEX1
974067,EIF4G2
974730,EIF4H
975323,PSMD7
976555,TRIM28
977970,KARS1
978572,HNRNPC
978973,FBL
979554,RPS10
980069,RPLP0
980398,HNRNPA1
981109,RPS6
982399,ERH
985018,SSB
985772,SNRPD2
985935,SLC25A3
986990,RPL14
987196,CCT4
987989,RPS5
988641,HSP90AB1
991382,RPL6
991660,PSMB3
993573,EEF1B2
993881,RPL18
995183,PHB2
995612,PSMD8
996339,RPS3
996901,RPS2
1000240,C1QBP
1002465,SET
1012344,LGALS1
1015783,VIM
1026686,FUCA1
1027092,COPA
1027298,MGP
1031625,FMOD
1038065,HTRA1
1048735,HPN
1073986,DHPS
1081642,COMT
1090111,GSTO1
1091610,TMBIM6
1108925,PRDX6
1110134,HSP90AA1
1119097,GLUL
1119688,S100A10
1121790,MDH1
1127375,ATP5F1C
1128292,COX10
1128672,UQCRB
1133454,COX7C
1133916,SLC25A5
1134228,COX4I1
1136452,LDHB
1138191,ATP5F1B
1138505,NDUFA4
1139993,NDUFV2
1140343,ATP5F1A
1140710,ATP5MC3
1141736,COX6B1
1141972,COX7A2
1144066,SLC25A6
1146270,ATP5PB
1148010,ATP6V1F
1152413,ATP5MC2
1154640,CYB5R3
1156167,UQCRH
1157667,TXN
1169885,PGAM1
1174636,PDLIM1
1178107,FTL
1186894,IRAK1
1190848,TRAF4
1196623,HINT1
1201376,CD81
1214355,SELENOW
1215956,HYAL2
1240426,NFIB
1244819,RBPMS
1258987,CAST
1276776,ACKR1
1286676,ARF4
1291144,CAPN2
1298043,SERPINB6
1344616,RPS3A
1346884,RPL9P8
1347860,RPS9
1351024,AARS1
1351791,HLA-DOA
1354326,CD3E
1355402,RPL39
1358617,RPS19
1364072,HLA-E
1367785,HLA-DRA
1378622,PEBP1
1448148,SRP14
1450858,PAX6
1461046,CAPZA1
1462712,SARS1
1470069,CHI3L2
1511727,RPS8
1518589,YBX1
1533366,PTP4A2
1547460,RPL11
1576796,GNB1
1591022,H2AC18
1591283,PSMB4
1594441,VPS72
1602849,RPS27
1608160,SSR2
1618870,TAGLN2
1650788,TPR
1678117,H3-3A
1687991,PARP1
1717286,GDI2
1724435,HNRNPF
